dataset,seed,layers,alpha,label,val_rmse,val_mase,naive_val_rmse,naive_val_mase,ratio_to_naive,rank,teacher_reliable
jena,42,1,0.01,L1_a0.01,1.0450663566589355,2.116950511932373,0.5365803837776184,1.011016845703125,2.093882531166048,7,False
jena,42,1,0.1,L1_a0.1,1.0450682640075684,2.1169559955596924,0.5365803837776184,1.011016845703125,2.0938879550393916,8,False
jena,42,4,0.0001,L4_a0.0001,1.047754168510437,2.1470987796783447,0.5365803837776184,1.011016845703125,2.1237022793473996,9,False
jena,42,4,0.001,L4_a0.001,1.047754168510437,2.1470987796783447,0.5365803837776184,1.011016845703125,2.1237022793473996,10,False
jena,42,4,0.01,L4_a0.01,1.0477544069290161,2.147099494934082,0.5365803837776184,1.011016845703125,2.12370298680914,11,False
jena,42,4,0.1,L4_a0.1,1.047756552696228,2.1471047401428223,0.5365803837776184,1.011016845703125,2.1237081748619033,12,False
jena,42,2,0.0001,L2_a0.0001,1.1493725776672363,2.382556915283203,0.5365803837776184,1.011016845703125,2.3565946753599567,13,False
jena,42,2,0.001,L2_a0.001,1.1493725776672363,2.382556915283203,0.5365803837776184,1.011016845703125,2.3565946753599567,14,False
jena,42,2,0.01,L2_a0.01,1.1493728160858154,2.3825573921203613,0.5365803837776184,1.011016845703125,2.356595147001117,15,False
jena,42,2,0.1,L2_a0.1,1.149375319480896,2.382564067840576,0.5365803837776184,1.011016845703125,2.356601749977361,16,False
mackey_glass,42,3,0.0001,L3_a0.0001,0.7390549182891846,0.5259659886360168,1.3829929828643799,0.9960069060325623,0.5280746402965418,1,True
mackey_glass,42,3,0.001,L3_a0.001,0.7390549182891846,0.5259660482406616,1.3829929828643799,0.9960069060325623,0.5280747001401478,2,True
mackey_glass,42,3,0.01,L3_a0.01,0.7390549778938293,0.5259661078453064,1.3829929828643799,0.9960069060325623,0.5280747599837536,3,True
mackey_glass,42,3,0.1,L3_a0.1,0.7390551567077637,0.5259665250778198,1.3829929828643799,0.9960069060325623,0.528075178888995,4,True
mackey_glass,42,2,0.1,L2_a0.1,0.7771121859550476,0.5562477111816406,1.3829929828643799,0.9960069060325623,0.5584777653775177,5,True
mackey_glass,42,2,0.0001,L2_a0.0001,0.7771121859550476,0.5562479496002197,1.3829929828643799,0.9960069060325623,0.5584780047519414,6,True
mackey_glass,42,2,0.001,L2_a0.001,0.7771121859550476,0.5562479496002197,1.3829929828643799,0.9960069060325623,0.5584780047519414,7,True
mackey_glass,42,2,0.01,L2_a0.01,0.7771121859550476,0.5562479496002197,1.3829929828643799,0.9960069060325623,0.5584780047519414,8,True
mackey_glass,42,4,0.0001,L4_a0.0001,0.7773297429084778,0.5602343082427979,1.3829929828643799,0.9960069060325623,0.5624803451156816,9,True
mackey_glass,42,4,0.001,L4_a0.001,0.7773297429084778,0.5602343082427979,1.3829929828643799,0.9960069060325623,0.5624803451156816,10,True
mackey_glass,42,4,0.01,L4_a0.01,0.7773297429084778,0.5602344274520874,1.3829929828643799,0.9960069060325623,0.5624804648028934,11,True
