dataset,comparison,n_pairs,MASE_mean_CeNN_NS,MASE_mean_other,MASE_delta_CeNN_minus_other,MASE_cohen_d_paired,MASE_wilcoxon_p,RMSE_mean_CeNN_NS,RMSE_mean_other,RMSE_delta_CeNN_minus_other,RMSE_cohen_d_paired,RMSE_wilcoxon_p,MAE_mean_CeNN_NS,MAE_mean_other,MAE_delta_CeNN_minus_other,MAE_cohen_d_paired,MAE_wilcoxon_p
Jena,CeNN_NS vs N-HiTS,5,4.856549192192652,4.678950023147524,0.17759916904512707,0.572779188003427,0.3125,1.1341859030077064,1.1337914702160603,0.00039443279164608214,0.008200024203600666,1.0,0.7683367457206878,0.7402394358435025,0.02809730987718535,0.5727791879935974,0.3125
Jena,CeNN_NS vs N-BEATS,5,4.856549192192652,4.72585667101243,0.13069252118022182,0.3062583447544747,0.625,1.1341859030077064,1.1418637641457834,-0.00767786113807718,-0.15091814064652945,1.0,0.7683367457206878,0.7476603636971986,0.020676382023489294,0.3062583447506557,0.625
Jena,CeNN_NS vs QELM,5,4.856549192192652,21.777753771648143,-16.92120457945549,-1.4981663711333344,0.0625,1.1341859030077064,7.047045441768392,-5.912859538760687,-1.6267132392835069,0.0625,0.7683367457206878,3.445378148112622,-2.6770414023919344,-1.4981663711326287,0.0625
Jena,CeNN_NS vs CeNN_Emulator,5,4.856549192192652,5.483120001024047,-0.6265708088313957,-0.44957214359370296,0.625,1.1341859030077064,1.221327486565966,-0.08714158355825959,-0.43007013019666723,0.625,0.7683367457206878,0.8674642037509734,-0.09912745803028551,-0.4495721435919867,0.625
ETTh1,CeNN_NS vs Persistence,5,1.9258257670513408,2.10728124036996,-0.18145547331861897,-6.388901152542125,0.0625,1.8105014623712035,1.9883255375888802,-0.17782407521767657,-12.650554165425444,0.0625,1.3323420493863405,1.4578782018929404,-0.12553615250659997,-6.388901152441904,0.0625
ETTh1,CeNN_NS vs MovingAverage,5,1.9258257670513408,2.180383585269055,-0.25455781821771406,-8.962775872536243,0.0625,1.8105014623712035,2.023671105250257,-0.21316964287905377,-15.165067555474634,0.0625,1.3323420493863405,1.5084525215869458,-0.17611047220060536,-8.962775872395655,0.0625
ETTh1,CeNN_NS vs MLP,5,1.9258257670513408,1.9277611955179208,-0.0019354284665797027,-0.018580191880999176,1.0,1.8105014623712035,1.8260942311387118,-0.015592768767508458,-0.2598058518972273,0.8125,1.3323420493863405,1.3336810348614137,-0.0013389854750732511,-0.018580191880920305,1.0
ETTh1,CeNN_NS vs LSTM,5,1.9258257670513408,1.9195472831188873,0.0062784839324537154,0.07408424974530521,1.0,1.8105014623712035,1.8242301589482968,-0.01372869657709339,-0.24007492866029967,0.8125,1.3323420493863405,1.3279984123384196,0.004343637047920757,0.07408424974491601,1.0
ETTh1,CeNN_NS vs Transformer,5,1.9258257670513408,1.988086882279355,-0.06226111522801396,-0.7683768591934774,0.1875,1.8105014623712035,1.864361947785945,-0.053860485414741754,-1.0032375015661934,0.0625,1.3323420493863405,1.3754160923653074,-0.043074042978966845,-0.7683768591892534,0.1875
ETTh1,CeNN_NS vs N-HiTS,5,1.9258257670513408,1.9443635034155613,-0.018537736364220514,-0.26130304377569236,0.625,1.8105014623712035,1.8309476860265843,-0.02044622365538067,-0.5530878271259808,0.4375,1.3323420493863405,1.3451669923697886,-0.012824942983448384,-0.261303043774051,0.625
