dataset,model,seed,emul_Pearson_r,emul_Spearman_r,emul_MAE_to_teacher,emul_RMSE_to_teacher,emul_KL_teacher_to_model,emul_JS_distance,emul_spectral_distance,emul_autocorr_distance,observable_MSE,observable_Pearson_r
AAPL,CeNN_Emulator,7,0.06383029371500015,0.06586286529491216,0.01979812979698181,0.027744563296437263,15.109522342645198,0.6267436457051324,0.744945764541626,0.3551892297986064,0.13827547430992126,0.7078043222427368
AAPL,CeNN_NS,99,0.05427137389779091,0.0551473711976549,0.019450195133686066,0.02733348309993744,15.171146921644516,0.6312277038375957,0.7016531825065613,0.2851587437799277,0.14917628467082977,0.6778184175491333
AAPL,CeNN_Emulator,99,0.04710925742983818,0.05484040529722388,0.01947074569761753,0.027344750240445137,15.157264316656834,0.6356916467189493,0.7150872945785522,0.28085596890510106,0.15415364503860474,0.6671050190925598
Jena,CeNN_NS,42,0.610629141330719,0.7943258115847102,1.967877984046936,4.429747581481934,1.4368228774815657,0.17457554306437403,0.9135832786560059,2.3835194392137677,0.0029240634758025408,0.9941338300704956
Jena,CeNN_Emulator,42,0.6209278702735901,0.7980900199717567,1.9679136276245117,4.393434524536133,1.4498152045951564,0.18185827724543777,0.9035654664039612,2.3659283455886047,0.0014206141931936145,0.9971507787704468
Jena,CeNN_NS,123,0.4170793294906616,0.6269967328744236,4.110855579376221,8.371760368347168,2.8139297551847466,0.2534471662471122,1.0053045749664307,1.8453837858289441,0.0015603704378008842,0.9971859455108643
Jena,CeNN_Emulator,123,0.41946911811828613,0.6264173747832524,4.073525905609131,8.365662574768066,2.8179368151315956,0.2575058989591754,0.977027952671051,1.8396965124377687,0.00409559765830636,0.9922295212745667
Jena,CeNN_NS,2024,0.6552367210388184,0.7993482658755066,1.8951354026794434,3.9139089584350586,1.2237210685618565,0.18389592598996082,0.8005764484405518,1.3288331786261827,0.0019312823424115777,0.9956128597259521
Jena,CeNN_Emulator,2024,0.660240888595581,0.8036958806851524,1.9162817001342773,3.910633087158203,0.9417003157096773,0.18169136567924912,0.7852085828781128,1.3263323937992277,0.0012881738366559148,0.9970781803131104
Jena,CeNN_NS,7,0.5372387170791626,0.7307680060724316,2.506725549697876,5.382623195648193,1.7312364291193965,0.19115368115052314,0.8459984064102173,2.018340456056251,0.0014968957984820008,0.9971408843994141
