dataset,model,seed,run_type,MAE,RMSE,MAPE,sMAPE,R2,training_time_sec,inference_latency_ms,n_parameters,epochs_ran,best_val_loss
jena_climate,LSTM,45,seeded,0.646567702293396,0.8755121775662013,3.7791035175323486,3.771366596221924,0.9706740975379944,7.211962442999948,0.00297103538811356,17217.0,38,0.011747168742918543
jena_climate,LSTM,46,seeded,0.6539231538772583,0.89021743684651,3.8251609802246094,3.821197032928467,0.9696807265281677,6.013062763000107,0.002975742009179049,17217.0,32,0.011693756694772415
jena_climate,TransformerEncoder,42,seeded,0.7229048609733582,0.9840862213890493,4.113563060760498,4.113246917724609,0.9629495739936829,7.905727295999895,0.007152173516187841,67137.0,18,0.011463961231389217
jena_climate,TransformerEncoder,43,seeded,0.7071982026100159,0.9718539441149124,3.9684247970581055,3.9824814796447754,0.9638649225234985,12.132732690000012,0.006894416666606655,67137.0,28,0.01103055097961
jena_climate,TransformerEncoder,44,seeded,0.6850564479827881,0.9564019450224942,3.9017531871795654,3.8985345363616943,0.9650048613548279,11.670903450999958,0.006779493150472395,67137.0,27,0.011017634333776576
jena_climate,TransformerEncoder,45,seeded,0.6909512877464294,0.9589327547743735,3.8872451782226562,3.8836610317230225,0.9648194313049316,11.775794040000164,0.006906099315009873,67137.0,27,0.010831210130293454
jena_climate,TransformerEncoder,46,seeded,0.6742255687713623,0.9057857376574441,3.926480293273926,3.919276714324951,0.9686110019683838,6.53448109399983,0.00695032990858623,67137.0,15,0.011230695992708206
jena_climate,CeNN,42,seeded,0.7570410370826721,1.0220449160542966,4.228414535522461,4.236256122589111,0.9600362181663513,22.14632384100014,0.0023238858448083803,4545.0,39,0.012071468800838505
jena_climate,CeNN,43,seeded,0.7410353422164917,1.012073116028432,4.107831954956055,4.132508277893066,0.9608122110366821,23.188543519000177,0.002308607305867014,4545.0,41,0.01162860672255712
jena_climate,CeNN,44,seeded,0.8727259635925293,1.2005217987299395,4.692915916442871,4.748695373535156,0.9448599815368652,10.665565711999989,0.002159563926763282,4545.0,19,0.013061765082446592
jena_climate,CeNN,45,seeded,0.8035510182380676,1.099271081954353,4.39808988571167,4.410202980041504,0.9537686705589294,19.820895381000128,0.002177924657334931,4545.0,35,0.012325612961181573
jena_climate,CeNN,46,seeded,0.7773128151893616,1.0453314718169875,4.386598587036133,4.363597393035889,0.958194375038147,21.322112408000066,0.002387640410863042,4545.0,38,0.01184451939272029
